# Ge EXPERIMENTO B
#Io(μA)	T(°C)	Io(μA)	T(°C)
32.4	150	32.6	150
31.8	149	32.0	149
31.0	148	31.0	148
30.6	147	30.5	147
29.6	146	29.6	146
29.0	145	29.0	145
28.6	144	28.5	144
28.1	143	28.1	143
27.5	142	27.1	142
26.9	141	26.8	141
26.4	140	26.2	140
25.7	139	25.8	139
25.3	138	25.9	138
24.9	137	24.9	137
24.5	136	24.5	136
24.1	135	24.0	135
23.4	134	23.2	134
22.3	133	22.6	133
21.9	132	21.9	132
21.3	131	21.4	131
20.5	130	20.8	130
19.6	129	20.0	129
19.8	128	19.1	128
18.5	127	18.5	127
