# Si EXPERIMENTO B
#Io(μA)	T(°C)	Io(μA)	T(°C)
40.8	150	40.6	150
39.3	149	39.1	149
38.5	148	38.6	148
37.2	147	37.2	147
36.1	146	36.5	146
35.2	145	35.3	145
34.1	144	34.0	144
33.0	143	33.2	143
31.9	142	32.0	142
31.0	141	31.1	141
28.4	140	28.8	140
27.7	139	27.7	139
26.5	138	26.7	138
25.8	137	25.9	137
24.7	136	24.3	136
23.6	135	23.4	135
22.9	134	22.6	134
22.0	133	22.1	133
21.1	132	21.0	132
20.2	131	20.0	131
18.9	130	18.4	130
17.1	129	17.0	129
15.9	128	15.8	128
15.0	127	14.7	127
